Musica,Letra
"Era Um Garoto, Que Como Eu, Amava Os Beatles e Os Rolling Stones","[<p>Era um garoto que como eu<br/>Amava os Beatles e os Rolling Stones<br/>Girava o mundo sempre a cantar<br/>As coisas lindas da América</p>, <p>Não era belo, mas mesmo assim<br/>Havia mil garotas a fim<br/>Cantava Help and Ticket to Ride<br/>Oh Lady Jane e Yesterday</p>, <p>Cantava viva à liberdade<br/>Mas uma carta, sem esperar<br/>Da sua guitarra o separou<br/>Fora chamado na América</p>, <p>Stop! Com Rolling Stones<br/>Stop! Com Beatles songs<br/>Mandado foi ao Vietnã<br/>Lutar com Vietcongs</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Era um garoto que como eu<br/>Amava os Beatles e os Rolling Stones<br/>Girava o mundo, mas acabou<br/>Fazendo a guerra no Vietnã</p>, <p>Cabelos longos não usa mais<br/>Não toca a sua guitarra, e sim<br/>Um instrumento que sempre dá<br/>A mesma nota, ra-tá-tá-tá</p>, <p>Não tem amigos, não vê garotas<br/>Só gente morta caindo ao chão<br/>Ao seu país não voltará<br/>Pois está morto no Vietnã</p>, <p>Stop! Com Rolling Stones<br/>Stop! Com Beatles songs<br/>No peito, um coração não há<br/>Mas duas medalhas sim</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá</p>, <p>Ratá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Tatá-tá tá tá, tatá-rá tá tá<br/>Ratá-tá tá tá<br/>Ratá-tá tá tá</p>]"
Toda Forma de Poder,"[<p>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada (yeah, yeah)<br/>Fidel e Pinochet tiram sarro de você<br/>Que não faz nada (yeah, yeah)<br/>E eu começo a achar normal que algum boçal<br/>Atire bombas na embaixada (yeah, yeah)<br/>(Uou, uou)</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Toda forma de poder<br/>É uma forma de morrer por nada (yeah, yeah)<br/>Toda forma de conduta<br/>Se transforma numa luta armada (uou, uou)<br/>A história se repete<br/>Mas a força deixa a história mal contada</p>, <p>Tada, tada, tada, tada<br/>Tada, tada, tada, tada<br/>Tada, tada, tada, oh</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>E o fascismo é fascinante<br/>E deixa gente ignorante fascinada (uou, oh)<br/>É tão fácil ir adiante e se esquecer<br/>Que a coisa toda tá errada (uou, yeah)<br/>Eu presto atenção no que eles dizem<br/>Mas eles não dizem nada</p>, <p>Nada, nada, nada, nada<br/>Nada, nada, nada, nada<br/>Nada, nada, nada, não</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer</p>, <p>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer tudo que eu vi<br/>Se tudo passa, talvez você passe por aqui<br/>E me faça esquecer (oh)</p>, <p>Yeah, oh</p>]"
O Papa É Pop,"[<p>Todo mundo tá relendo o que nunca foi lido<br/>Todo mundo tá comprando os mais vendidos<br/>É qualquer nota, qualquer notícia<br/>Páginas em branco, fotos coloridas<br/>Qualquer nova, qualquer notícia<br/>Qualquer coisa que se mova é um alvo<br/>E ninguém tá salvo</p>, <p>Todo mundo tá revendo o que nunca foi visto<br/>Tá na cara, tá na capa da revista<br/>Qualquer nota, uma nota preta<br/>Páginas em branco, fotos coloridas<br/>Qualquer rota (rotatividade)<br/>Qualquer coisa que se mova é um alvo<br/>E ninguém tá salvo</p>, <p>Um disparo<br/>Um estouro</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa ninguém</p>, <p>(O presidente é pop, um indigente é pop)<br/>O Papa é pop, o Papa é pop<br/>(Nós somos pop também)<br/>O pop não poupa ninguém<br/>(A minha mente é pop, a tua mente é pop)<br/>O Papa levou um tiro à queima roupa<br/>(O pop não poupa ninguém)<br/>O pop não poupa ninguém</p>, <p>Uma palavra na tua camiseta<br/>O planeta na tua cama<br/>Uma palavra escrita a lápis<br/>Eternidades da semana</p>, <p>Qualquer nota, qualquer notícia<br/>Páginas em branco, fotos coloridas<br/>Qualquer coisa quase nova<br/>Qualquer coisa que se mova é um alvo<br/>E ninguém tá salvo</p>, <p>Um disparo<br/>Um estouro</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa ninguém</p>, <p>(O presidente é pop, um indigente é pop)<br/>O Papa é pop, o Papa é pop<br/>(Nós somos pop também)<br/>O pop não poupa ninguém<br/>(Antigamente é pop, atualmente é pop)<br/>O Papa levou um tiro à queima roupa<br/>(O pop não poupa ninguém)<br/>O pop não poupa ninguém</p>, <p>Toda catedral é populista, é pop<br/>É macumba pra turista<br/>E afinal, o que é rock'n'roll?<br/>Os óculos do John ou o olhar do Paul?</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa ninguém</p>, <p>O Papa é pop, o Papa é pop<br/>O pop não poupa ninguém<br/>O Papa levou um tiro à queima roupa<br/>O pop não poupa, o pop não poupa<br/>O pop não poupa ninguém</p>]"
A Revolta Dos Dandis (parte 1),"[<p>Entre um rosto e um retrato, o real e o abstrato<br/>Entre a loucura e a lucidez<br/>Entre o uniforme e a nudez<br/>Entre o fim do mundo e o fim do mês<br/>Entre a verdade e o rock inglês<br/>Entre os outros e vocês</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>, <p>Entre mortos e feridos, entre gritos e gemidos<br/>(A mentira e a verdade, a solidão e a cidade)<br/>Entre um copo e outro da mesma bebida<br/>Entre tantos corpos com a mesma ferida</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>, <p>Entre americanos e soviéticos, gregos e troianos<br/>Entra ano e sai ano, sempre os mesmos planos<br/>Entre a minha boca e a tua, há tanto tempo, há tantos planos<br/>Mas eu nunca sei pra onde vamos</p>, <p>Eu me sinto um estrangeiro<br/>Passageiro de algum trem<br/>Que não passa por aqui<br/>Que não passa de ilusão</p>]"
Terra de Gigantes,"[<p>Ei, mãe!<br/>Eu tenho uma guitarra elétrica<br/>Durante muito tempo isso foi tudo<br/>Que eu queria ter</p>, <p>Mas, ei mãe!<br/>Alguma coisa ficou pra trás<br/>Antigamente eu sabia exatamente o que fazer</p>, <p>Ei, mãe!<br/>Tem uns amigos tocando comigo<br/>Eles são legais, além do mais<br/>Não querem nem saber</p>, <p>Mas agora, lá fora<br/>Todo mundo é uma ilha<br/>A milhas e milhas e milhas<br/>De qualquer lugar</p>, <p>Nessa terra de gigantes<br/>Eu sei, já ouvimos tudo isso antes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>As revistas, as revoltas, as conquistas<br/>Da juventude são heranças<br/>São motivos pras mudanças de atitude<br/>Os discos, as danças, os riscos<br/>Da juventude<br/>A cara limpa, a roupa suja<br/>Esperando que o tempo mude</p>, <p>Nessa terra de gigantes<br/>Tudo isso já foi dito antes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Ei, mãe!<br/>Já não esquento a cabeça<br/>Durante muito tempo<br/>Isso foi só o que eu podia fazer</p>, <p>Mas ei, ei, mãe!<br/>Por mais que a gente cresça<br/>Há sempre coisas que a gente<br/>Não pode entender</p>, <p>Por isso, mãe<br/>Só me acorda quando o Sol tiver se posto<br/>Eu não quero ver meu rosto<br/>Antes de anoitecer</p>, <p>Pois agora lá fora<br/>O mundo todo é uma ilha<br/>A milhas e milhas e milhas</p>, <p>Nessa terra de gigantes<br/>Que trocam vidas por diamantes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Nessa terra de gigantes<br/>Que trocam vidas por diamantes<br/>A juventude é uma banda<br/>Numa propaganda de refrigerantes</p>, <p>Ei, mãe<br/>(Ei, mãe)</p>]"
Longe Demais Das Capitais,"[<p>Suave é a noite<br/>É a noite que eu saio<br/>Pra conhecer a cidade<br/>E me perder por aí</p>, <p>Nossa cidade é muito grande<br/>E tão pequena<br/>Tão distante do horizonte<br/>Do país</p>, <p>Eu sempre quis viver no velho mundo<br/>Na velha forma de viver<br/>O 3º sexo, a 3ª guerra, o 3º mundo<br/>São tão difíceis de entender</p>, <p>Suave é cidade<br/>Pra quem gosta da cidade<br/>Pra quem tem necessidade de se esconder</p>, <p>Nossa cidade é tão pequena<br/>E tão ingênua<br/>Estamos longe demais<br/>Das capitais</p>, <p>Longe demais das capitais<br/>Longe demais das capitais</p>, <p>Eu sempre quis viver no velho mundo<br/>Na velha forma de viver<br/>O 3º sexo, a 3ª guerra, o 3º mundo<br/>São tão difíceis de entender</p>, <p>O 3º sexo, a 3ª guerra, o 3º mundo</p>]"
"Filmes de Guerra, Canções de Amor","[<p>Os dias parecem séculos<br/>Quando a gente anda em círculos<br/>Seguindo ideais ridículos<br/>De querer, lutar e poder</p>, <p>As roupas na lavanderia<br/>O analista passeando na Europa<br/>As encomendas na Bolívia<br/>E nas fotos um sorriso idiota</p>, <p>Os dias parecem séculos<br/>E se parecem uns com os outros<br/>Como enfermeiras em filmes de guerra<br/>E violinos em canções de amor</p>, <p>A seguir cenas obscenas<br/>Do próximo capítulo<br/>É só virar a página<br/>E o futuro virá</p>, <p>Filmes de guerra, canções de amor<br/>Manchetes de jornal, ou seja lá o que for<br/>Há sempre uma história infeliz<br/>Esperando uma atriz e um ator</p>, <p>Há vida na terra, há rumores no ar<br/>Dizendo que tudo vai acabar<br/>(Mais uma história infeliz)<br/>(Esperando um ator e uma atriz)</p>, <p>Não tenho medo de perder a guerra<br/>Pois no fim da guerra todos perdem<br/>No fim das contas as nações unidas<br/>Tão sempre prontas pra desunião</p>, <p>Não tenho medo de perder você<br/>Desde o início eu sabia<br/>Era só questão de dias<br/>Um dia iria acontecer</p>, <p>Preciso beber qualquer coisa<br/>Não me lembre que eu não bebo<br/>O que só nós dois sabemos<br/>Nós sabemos que é segredo</p>, <p>Há um guarda em cada esquina<br/>Esperando o sinal<br/>Pra transformar um banho de piscina<br/>Numa batalha naval</p>, <p>Agora sinto um medo infantil<br/>Mas na hora certa afundaremos o navio<br/>Então dê um copo de aguardente<br/>Para um corpo sentindo frio</p>, <p>Preciso beber qualquer coisa<br/>Você sabe que eu preciso<br/>E o que só nós dois sabemos<br/>Já não é mais segredo</p>, <p>Se alguém, seja lá quem for<br/>Tiver que morrer, na guerra ou no amor<br/>Não me peça pra entender<br/>Não me peça pra esquecer</p>, <p>Não me peça para entender<br/>Não me peça pra escolher<br/>Entre o fio ciumento da navalha<br/>E o frio de um campo de batalha</p>, <p>Chegamos ao fim do dia<br/>Chegamos, quem diria?<br/>Ninguém é bastante lúcido<br/>Pra andar tão rápido</p>, <p>Chegamos ao fim do século<br/>Voltamos enfim ao início<br/>Quando se anda em círculos<br/>Nunca se é bastante rápido</p>]"
Infinita Highway (Ao Vivo),"[<p>Você me faz correr demais<br/>Os riscos desta highway<br/>Você me faz correr atrás<br/>Do horizonte desta highway</p>, <p>Ninguém por perto, silêncio no deserto<br/>Deserta highway<br/>Estamos sós e nenhum de nós<br/>Sabe exatamente onde vai parar</p>, <p>Mas não precisamos saber pra onde vamos<br/>Nós só precisamos ir<br/>Não queremos ter o que não temos<br/>Nós só queremos viver</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e isto é tudo<br/>É sobretudo a lei<br/>Da infinita highway</p>, <p>Quando eu vivia e morria na cidade<br/>Eu não tinha nada, nada a temer<br/>Mas eu tinha medo, medo desta estrada<br/>Olhe só! Veja você</p>, <p>Quando eu vivia e morria na cidade<br/>Eu tinha de tudo, tudo ao meu redor<br/>Mas tudo o que eu sentia era que algo me faltava<br/>E à noite eu acordava banhado em suor</p>, <p>Não queremos lembrar o que esquecemos<br/>Nós só queremos viver<br/>Não queremos aprender o que sabemos<br/>Não queremos nem saber</p>, <p>Sem motivos, nem objetivos<br/>Estamos vivos e é só<br/>Só obedecemos a lei<br/>Da infinita highway</p>, <p>Escute garota, o vento canta uma canção<br/>Dessas que a gente nunca canta sem razão<br/>Me diga, garota: Será a estrada uma prisão?<br/>Eu acho que sim, você finge que não</p>, <p>Mas nem por isso ficaremos parados<br/>Com a cabeça nas nuvens e os pés no chão<br/>Tudo bem, garota, não adianta mesmo ser livre<br/>Se tanta gente vive sem ter como viver</p>, <p>Estamos sós e nenhum de nós<br/>Sabe onde quer chegar<br/>Estamos vivos sem motivos<br/>Que motivos temos pra estar?</p>, <p>Atrás de palavras escondidas<br/>Nas entrelinhas do horizonte<br/>Dessa highway<br/>Silenciosa highway (highway)</p>, <p>Eu vejo um horizonte trêmulo<br/>Eu tenho os olhos úmidos<br/>Eu posso estar completamente enganado<br/>Eu posso estar correndo pro lado errado</p>, <p>Mas a dúvida é o preço da pureza<br/>E é inútil ter certeza<br/>Eu vejo as placas dizendo<br/>Não corra, não morra, não fume<br/>Eu vejo as placas cortando o horizonte<br/>Elas parecem facas de dois gumes</p>, <p>Minha vida é tão confusa quanto a América central<br/>Por isso não me acuse de ser irracional</p>, <p>Escute garota<br/>Façamos um trato<br/>Você desliga o telefone<br/>Se eu ficar muito abstrato</p>, <p>Eu posso ser um beatle<br/>Um beatnik ou um bitolado<br/>Mas eu não sou ator<br/>Eu não tô à toa do teu lado</p>, <p>Por isso, garota<br/>Façamos um pacto<br/>De não usar a highway<br/>Pra causar impacto</p>, <p>Cento e dez<br/>Cento e vinte<br/>Cento e sessenta<br/>Só pra ver até quando<br/>O motor aguenta</p>, <p>Na boca, em vez de um beijo<br/>Um chiclet de menta<br/>E a sombra do sorriso que eu deixei<br/>Numa das curvas da highway (highway)</p>, <p>Highway (highway)<br/>Infinita highway (highway)<br/>Highway (highway)<br/>Infinita highway (highway)</p>, <p>Highway (highway)<br/>Highway (highway)<br/>Highway (highway)</p>]"
Somos Quem Podemos Ser (Ao Vivo),"[<p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Um dia me disseram<br/>Que os ventos às vezes erram a direção</p>, <p>E tudo ficou tão claro<br/>Um intervalo na escuridão<br/>Uma estrela de brilho raro<br/>Um disparo para um coração</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Quem eram os donos da situação<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>E tudo ficou tão claro<br/>O que era raro ficou comum<br/>Como um dia depois do outro<br/>Como um dia, um dia comum</p>, <p>A vida imita o vídeo<br/>Garotos inventam um novo inglês<br/>Vivendo num país sedento<br/>Um momento de embriaguez</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>, <p>Um dia me disseram<br/>Que as nuvens não eram de algodão<br/>Sem querer eles me deram<br/>As chaves que abrem essa prisão</p>, <p>Quem ocupa o trono tem culpa<br/>Quem oculta o crime também<br/>Quem duvida da vida tem culpa<br/>Quem evita a dúvida também tem</p>, <p>Somos quem podemos ser<br/>Sonhos que podemos ter</p>]"
Pra Ser Sincero,"[<p>Pra ser sincero<br/>Não espero de você<br/>Mais do que educação<br/>Beijos sem paixão<br/>Crime sem castigo<br/>Aperto de mãos<br/>Apenas bons amigos</p>, <p>Pra ser sincero<br/>Não espero que você<br/>Minta<br/>Não se sinta capaz<br/>De enganar<br/>Quem não engana<br/>A si mesmo</p>, <p>Nós dois temos<br/>Os mesmos defeitos<br/>Sabemos tudo<br/>A nosso respeito<br/>Somos suspeitos<br/>De um crime perfeito<br/>Mas crimes perfeitos<br/>Não deixam suspeitos</p>, <p>Pra ser sincero<br/>Não espero de você<br/>Mais do que educação<br/>Beijos sem paixão<br/>Crime sem castigo<br/>Aperto de mãos<br/>Apenas bons amigos</p>, <p>Pra ser sincero<br/>Não espero que você<br/>Me perdoe<br/>Por ter perdido a calma<br/>Por ter vendido a alma<br/>Ao diabo</p>, <p>Um dia desses<br/>Num desses<br/>Encontros casuais<br/>Talvez a gente<br/>Se encontre<br/>Talvez a gente<br/>Encontre explicação</p>, <p>Um dia desses<br/>Num desses<br/>Encontros casuais<br/>Talvez eu diga<br/>Minha amiga<br/>Pra ser sincero<br/>Prazer em vê-la<br/>Até mais</p>, <p>Nós dois temos<br/>Os mesmos defeitos<br/>Sabemos tudo<br/>A nosso respeito<br/>Somos suspeitos<br/>De um crime perfeito<br/>Mas crimes perfeitos<br/>Não deixam suspeitos</p>]"
